Player Name,Profile URL,Player Region
"Pa1nt
BLIN",https://www.vlr.gg/player/23407/pa1nt,na
"poiz
C9A",https://www.vlr.gg/player/6464/poiz,na
"VYX
curs",https://www.vlr.gg/player/21791/vyx,na
"Sayaplayer
T1",https://www.vlr.gg/player/4545/sayaplayer,na
"jcrueL
NBG",https://www.vlr.gg/player/6416/jcruel,na
"OXY
C9",https://www.vlr.gg/player/18796/oxy,na
"mehzy
MORB",https://www.vlr.gg/player/8407/mehzy,na
"Ange
MU",https://www.vlr.gg/player/766/ange,na
"sarahcat
SR",https://www.vlr.gg/player/21486/sarahcat,na
"welyy
Blue",https://www.vlr.gg/player/16671/welyy,na
"Kess
UT",https://www.vlr.gg/player/9094/kess,na
"Derrek
EG",https://www.vlr.gg/player/1533/derrek,na
"brax
T1",https://www.vlr.gg/player/2/brax,na
"mada
NRG",https://www.vlr.gg/player/5132/mada,na
"cryptX
FIU",https://www.vlr.gg/player/15100/cryptx,na
"ANDROID
OU",https://www.vlr.gg/player/2507/android,na
"hannah
DSG",https://www.vlr.gg/player/11958/hannah,na
"Temperature
DTL",https://www.vlr.gg/player/156/temperature,na
"Huso
FH",https://www.vlr.gg/player/30472/huso,na
"mikeE
BLIN",https://www.vlr.gg/player/29688/mikee,na
"Esmé
YFPB",https://www.vlr.gg/player/21501/esm,na
"Korsonix
TOR",https://www.vlr.gg/player/6450/korsonix,na
"Cade3k
TS",https://www.vlr.gg/player/3688/cade3k,na
"cavern
MOBAP",https://www.vlr.gg/player/2171/cavern,na
"BlackHeart
MAD",https://www.vlr.gg/player/8078/blackheart,na
alym,https://www.vlr.gg/player/48025/alym,na
"Meeeeester Juan
YFP",https://www.vlr.gg/player/3979/meeeeester-juan,na
"vita
Volc",https://www.vlr.gg/player/45696/vita,na
"terror
oomf",https://www.vlr.gg/player/45801/terror,na
"Shawn12590
NSIC",https://www.vlr.gg/player/2126/shawn12590,na
"colby
SaD",https://www.vlr.gg/player/44607/colby,na
"ShahZaM
MIBR",https://www.vlr.gg/player/46/shahzam,na
"SUPERBRON
SEN",https://www.vlr.gg/player/46361/superbron,na
"Pain
IluZ",https://www.vlr.gg/player/28587/pain,na
"miggie
FT S",https://www.vlr.gg/player/26223/miggie,na
benas,https://www.vlr.gg/player/26511/benas,na
"bones
FAIM",https://www.vlr.gg/player/8375/bones,na
YAMS,https://www.vlr.gg/player/31802/yams,na
"BearZ
Team",https://www.vlr.gg/player/8330/bearz,na
"sharky
COL",https://www.vlr.gg/player/863/sharky,na
"Asuna
100T",https://www.vlr.gg/player/601/asuna,na
"flare
WU",https://www.vlr.gg/player/9837/flare,na
"qrthur
Tena",https://www.vlr.gg/player/27715/qrthur,na
"pwny
OXG",https://www.vlr.gg/player/8085/pwny,na
"NaturE
EG",https://www.vlr.gg/player/4927/nature,na
"penny
G2",https://www.vlr.gg/player/7716/penny,na
"Dark3st
SAD",https://www.vlr.gg/player/6437/dark3st,na
"nabil
RESO",https://www.vlr.gg/player/8434/nabil,na
"Cain
SFU.P",https://www.vlr.gg/player/8400/cain,na
"furbsa
SAD",https://www.vlr.gg/player/21886/furbsa,na
"whitr
UAESA.G",https://www.vlr.gg/player/24545/whitr,na
"Jerrwin
LS",https://www.vlr.gg/player/34057/jerrwin,na
"SwayZ
MU",https://www.vlr.gg/player/8941/swayz,na
"YaBoiDre
NYFU",https://www.vlr.gg/player/36/yaboidre,na
WhoFramedMe,https://www.vlr.gg/player/21901/whoframedme,na
"s0m
NRG",https://www.vlr.gg/player/4164/s0m,na
"flowerful
LIL",https://www.vlr.gg/player/3101/flowerful,na
"jmoh
LMND",https://www.vlr.gg/player/2560/jmoh,na
"Dcop
FSN",https://www.vlr.gg/player/582/dcop,na
"Will
YFP",https://www.vlr.gg/player/1411/will,na
"wedid
DZ",https://www.vlr.gg/player/1856/wedid,na
"velis
RESO",https://www.vlr.gg/player/8539/velis,na
"crashies
NRG",https://www.vlr.gg/player/4/crashies,na
"Venerated
LG",https://www.vlr.gg/player/34/venerated,na
"BcJ
M80",https://www.vlr.gg/player/864/bcj,na
"Jrmzie
CC P",https://www.vlr.gg/player/36405/jrmzie,na
"karie
SNG",https://www.vlr.gg/player/17951/karie,na
"dam
TAMU",https://www.vlr.gg/player/11065/dam,na
"Xeppaa
C9",https://www.vlr.gg/player/7871/xeppaa,na
